unique_number,rev_bis,name_en,date_inscribed,danger_list,Latitude,Longitude,area_hectares,C1,C2,C3,C4,C5,C6,N7,N8,N9,N10,criteria_txt,category,category_short,states_name_en
516,,Brasilia,1987,,-15.78333,-47.9,11268.92,1,0,0,1,0,0,0,0,0,0,(i)(iv),Cultural,C,Brazil
719,,Serra da Capivara National Park,1991,,-8.416666667,-42.33333333,0,0,0,1,0,0,0,0,0,0,0,(iii),Cultural,C,Brazil
970,,Historic Centre of São Luís,1997,,-2.514166667,-44.3025,66.65,0,0,1,1,1,0,0,0,0,0,(iii)(iv)(v),Cultural,C,Brazil
1042,,Historic Centre of the Town of Diamantina,1999,,-18.23333333,-43.6,28.5,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Brazil
1044,Rev,Discovery Coast Atlantic Forest Reserves,1999,,-16.5,-39.25,111930,0,0,0,0,0,0,0,0,1,1,(ix)(x),Natural,N,Brazil
1045,-894 Rev,Atlantic Forest South-East Reserves,1999,,-24.16667,-48,468193,0,0,0,0,0,0,1,0,1,1,(vii)(ix)(x),Natural,N,Brazil
1157,Rev,Historic Centre of the Town of Goiás,2001,,-15.93328,-50.13336,40.3,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Brazil
1163,Bis,Central Amazon Conservation Complex,2000,,-2.333333333,-62.00833333,5323018,0,0,0,0,0,0,0,0,1,1,(ix)(x),Natural,N,Brazil
1164,,Pantanal Conservation Area,2000,,-17.71667,-57.38333,187818,0,0,0,0,0,0,1,0,1,1,(vii)(ix)(x),Natural,N,Brazil
1166,Rev,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,2001,,-3.857944444,-32.42511111,42270,0,0,0,0,0,0,1,0,1,1,(vii)(ix)(x),Natural,N,Brazil
1208,,Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks,2001,,-14.00569444,-47.68461111,367356,0,0,0,0,0,0,0,0,1,1,(ix)(x),Natural,N,Brazil
1843,Rev,Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,2012,,-22.9477777778,-43.2913888889,7248.78,0,0,0,0,1,1,0,0,0,0,(v)(vi),Cultural,C,Brazil
1725,Rev,São Francisco Square in the Town of São Cristóvão,2010,,-11.0161111111,-37.21,3,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Brazil
2077,,Pampulha Modern Ensemble,2016,,-19.8519444444,-43.9736111111,154,1,1,0,1,0,0,0,0,0,0,(i)(ii)(iv),Cultural,C,Brazil
2173,,Valongo Wharf Archaeological Site,2017,,-22.8971111111,-43.1873944444,0.3895,0,0,0,0,0,1,0,0,0,0,(vi),Cultural,C,Brazil
46,,Boyana Church,1979,,42.65,23.26666667,0.68,0,1,1,0,0,0,0,0,0,0,(ii)(iii),Cultural,C,Bulgaria
47,,Madara Rider,1979,,43.3,27.15,1.2,1,0,1,0,0,0,0,0,0,0,(i)(iii),Cultural,C,Bulgaria
48,,Thracian Tomb of Kazanlak,1979,,42.61666667,25.4,0.0155,1,0,1,1,0,0,0,0,0,0,(i)(iii)(iv),Cultural,C,Bulgaria
49,,Rock-Hewn Churches of Ivanovo,1979,,43.71666667,25.96666667,171.9,0,1,1,0,0,0,0,0,0,0,(ii)(iii),Cultural,C,Bulgaria
239,,Rila Monastery,1983,,42.11666667,23.4,10.7,0,0,0,0,0,1,0,0,0,0,(vi),Cultural,C,Bulgaria
240,,Ancient City of Nessebar,1983,,42.65611,27.73,27.1,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Bulgaria
1621,Bis,Srebarna Nature Reserve,1983,P 1992-2003,44.11444,27.07806,638,0,0,0,0,0,0,0,0,0,1,(x),Natural,N,Bulgaria
1641,Bis,Pirin National Park,1983,,41.7427222222,23.4304722222,38350.04,0,0,0,0,0,0,1,1,1,0,(vii)(viii)(ix),Natural,N,Bulgaria
412,,Thracian Tomb of Sveshtari,1985,,43.66667,26.66667,647.6,1,0,1,0,0,0,0,0,0,0,(i)(iii),Cultural,C,Bulgaria
1696,Rev,Ruins of Loropéni,2009,,10.25,-3.5833333333,1.113,0,0,1,0,0,0,0,0,0,0,(iii),Cultural,C,Burkina Faso
1600,,"Cidade Velha, Historic Centre of Ribeira Grande",2009,,14.9151388889,-23.6051944444,209.1,0,1,1,0,0,1,0,0,0,0,(ii)(iii)(vi),Cultural,C,Cabo Verde
791,,Angkor,1992,P 1992-2004,13.43333333,103.8333333,40100,1,1,1,1,0,0,0,0,0,0,(i)(ii)(iii)(iv),Cultural,C,Cambodia
